Scan_ID,URL,HTTP_Method,Vulnerability,Parameter,CVSS,Severity,Status
DAST0394,/api/users,DELETE,Information Disclosure,N/A,8.3,High,Open
DAST0395,/login,GET,Session Management Issue,username,2.8,Low,Open
DAST0396,/admin,GET,CSRF,N/A,3.9,Low,Open
DAST0397,/api/users,PUT,Cross-Site Scripting,token,4.2,Medium,Fixed
DAST0398,/search,PUT,Missing Security Headers,username,2.8,Low,Open
DAST0399,/download,DELETE,Broken Authentication,token,2.9,Low,Open
DAST0400,/search,POST,Broken Authentication,file,9.9,Critical,Open
DAST0401,/search,POST,Open Redirect,N/A,9.9,Critical,Open
DAST0402,/download,POST,Cross-Site Scripting,file,3.1,Low,Open
DAST0403,/login,DELETE,SQL Injection,redirect,9.2,Critical,Open
DAST0404,/api/auth,POST,Security Misconfiguration,id,6.6,Medium,Fixed
DAST0405,/login,POST,Information Disclosure,redirect,5.2,Medium,Fixed
DAST0406,/upload,GET,Security Misconfiguration,id,5.6,Medium,Open
DAST0407,/search,DELETE,Cross-Site Scripting,file,7.7,High,Fixed
DAST0408,/login,GET,Broken Authentication,search,2.7,Low,Open
DAST0409,/profile,PUT,Path Traversal,id,4.7,Medium,Open
DAST0410,/api/auth,DELETE,Open Redirect,N/A,7.4,High,Open
DAST0411,/upload,PUT,Open Redirect,username,4.5,Medium,Fixed
DAST0412,/api/auth,POST,Open Redirect,username,8.7,High,Open
DAST0413,/payment,POST,Open Redirect,username,3.7,Low,Open
DAST0414,/api/auth,DELETE,Open Redirect,file,6,Medium,Open
DAST0415,/api/users,PUT,CSRF,search,4.2,Medium,Fixed
DAST0416,/api/auth,GET,Path Traversal,username,3.5,Low,Open
DAST0417,/login,PUT,Information Disclosure,username,9.6,Critical,Open
DAST0418,/api/users,POST,Path Traversal,N/A,4.6,Medium,Fixed
DAST0419,/payment,DELETE,SQL Injection,search,5.8,Medium,Open
DAST0420,/admin,DELETE,SQL Injection,N/A,2.2,Low,Open
DAST0421,/login,GET,Security Misconfiguration,file,6.4,Medium,Open
DAST0422,/download,PUT,Broken Authentication,token,7.2,High,Open
DAST0423,/upload,POST,SQL Injection,file,6.8,Medium,Open
DAST0424,/login,POST,SQL Injection,id,4.6,Medium,Open
DAST0425,/payment,PUT,CSRF,token,9.1,Critical,Open
DAST0426,/payment,DELETE,Cross-Site Scripting,N/A,7,High,Open
DAST0427,/checkout,GET,Session Management Issue,search,4.4,Medium,Open
DAST0428,/login,PUT,SQL Injection,redirect,5.1,Medium,Open
DAST0429,/payment,GET,Session Management Issue,file,3.3,Low,Open
DAST0430,/login,POST,Cross-Site Scripting,search,8.9,High,Open
DAST0431,/payment,GET,Session Management Issue,id,9.6,Critical,Open
DAST0432,/payment,GET,Information Disclosure,username,6.5,Medium,Open
DAST0433,/upload,DELETE,Security Misconfiguration,redirect,4.6,Medium,Open
DAST0434,/download,DELETE,Cross-Site Scripting,file,10,Critical,Open
DAST0435,/api/auth,GET,Information Disclosure,file,3.9,Low,Open
DAST0436,/download,DELETE,Security Misconfiguration,search,6.9,Medium,Open
DAST0437,/api/users,DELETE,Open Redirect,redirect,2.9,Low,Open
DAST0438,/api/auth,GET,Security Misconfiguration,N/A,5.9,Medium,Open
DAST0439,/upload,GET,Session Management Issue,N/A,2.8,Low,Open
DAST0440,/profile,POST,CSRF,redirect,3.3,Low,Open
DAST0441,/admin,DELETE,Path Traversal,redirect,4.3,Medium,Open
DAST0442,/payment,DELETE,Open Redirect,search,6.7,Medium,Open
DAST0443,/download,DELETE,CSRF,search,7.9,High,Open
DAST0444,/profile,PUT,Path Traversal,username,3.3,Low,Open
DAST0445,/api/auth,POST,Open Redirect,N/A,8.9,High,Fixed
DAST0446,/api/users,POST,Path Traversal,file,7.7,High,Open
DAST0447,/api/auth,DELETE,SQL Injection,token,8.1,High,Fixed
DAST0448,/payment,DELETE,Session Management Issue,username,3.2,Low,Open
DAST0449,/payment,POST,CSRF,search,4.9,Medium,Open
DAST0450,/checkout,GET,Broken Authentication,username,7.4,High,Open
DAST0451,/search,GET,Path Traversal,token,6.2,Medium,Open
DAST0452,/payment,DELETE,Open Redirect,file,4.8,Medium,Open
DAST0453,/login,PUT,Broken Authentication,N/A,3.9,Low,Open
DAST0454,/search,POST,Security Misconfiguration,token,2.5,Low,Open
DAST0455,/payment,DELETE,Broken Authentication,id,3.9,Low,Open
DAST0456,/download,PUT,CSRF,id,9.1,Critical,Open
DAST0457,/profile,PUT,Path Traversal,search,8.5,High,Open
DAST0458,/profile,POST,Path Traversal,id,8,High,Open
DAST0459,/upload,GET,Cross-Site Scripting,id,3.2,Low,Open
DAST0460,/login,GET,Information Disclosure,username,3,Low,Open
DAST0461,/api/users,POST,Security Misconfiguration,N/A,9.8,Critical,Open
DAST0462,/checkout,POST,Missing Security Headers,N/A,5.5,Medium,Open
DAST0463,/login,PUT,Information Disclosure,search,5.7,Medium,Open
DAST0464,/checkout,GET,Cross-Site Scripting,id,3.3,Low,Fixed
DAST0465,/profile,POST,Session Management Issue,N/A,6.7,Medium,Open
DAST0466,/api/users,GET,Information Disclosure,id,4.2,Medium,Open
DAST0467,/login,DELETE,Broken Authentication,file,3.8,Low,Open
DAST0468,/checkout,DELETE,Information Disclosure,token,7.5,High,Open
DAST0469,/checkout,POST,Missing Security Headers,N/A,4.3,Medium,Open
DAST0470,/profile,PUT,Session Management Issue,username,8.5,High,Open
DAST0471,/api/auth,DELETE,Information Disclosure,search,2.8,Low,Open
DAST0472,/login,GET,Information Disclosure,token,8.6,High,Open
DAST0473,/checkout,PUT,Security Misconfiguration,search,5.4,Medium,Open
DAST0474,/login,DELETE,Information Disclosure,N/A,8,High,Open
DAST0475,/payment,POST,Information Disclosure,id,7.3,High,Open
DAST0476,/admin,DELETE,Cross-Site Scripting,token,5.6,Medium,Open
DAST0477,/upload,POST,Path Traversal,token,7,High,Open
DAST0478,/download,DELETE,Session Management Issue,N/A,2,Low,Open
DAST0479,/api/users,DELETE,Missing Security Headers,token,3.7,Low,Open
DAST0480,/download,DELETE,Cross-Site Scripting,N/A,7.6,High,Open
DAST0481,/search,DELETE,Cross-Site Scripting,username,3.7,Low,Open
DAST0482,/checkout,DELETE,Cross-Site Scripting,username,8.5,High,Open
DAST0483,/payment,PUT,Open Redirect,token,4.5,Medium,Fixed
DAST0484,/api/auth,GET,Missing Security Headers,token,7.5,High,Fixed
DAST0485,/upload,DELETE,Cross-Site Scripting,search,9.5,Critical,Fixed
DAST0486,/login,POST,Path Traversal,token,2.9,Low,Open
DAST0487,/login,GET,Cross-Site Scripting,search,3,Low,Fixed
DAST0488,/admin,POST,Cross-Site Scripting,search,7.4,High,Open
DAST0489,/download,DELETE,Path Traversal,username,5.4,Medium,Open
DAST0490,/api/auth,POST,Missing Security Headers,redirect,8.7,High,Fixed
DAST0491,/login,PUT,Session Management Issue,token,9.8,Critical,Open
DAST0492,/admin,POST,Session Management Issue,username,2.6,Low,Open
DAST0493,/api/auth,PUT,SQL Injection,search,5.7,Medium,Fixed
DAST0494,/login,DELETE,Session Management Issue,N/A,7.6,High,Fixed
DAST0495,/admin,PUT,Cross-Site Scripting,search,2.7,Low,Open
DAST0496,/search,DELETE,Cross-Site Scripting,username,9.9,Critical,Open
DAST0497,/checkout,POST,Information Disclosure,search,4,Medium,Open
DAST0498,/checkout,PUT,Path Traversal,N/A,2.4,Low,Open
DAST0499,/upload,DELETE,Cross-Site Scripting,N/A,7.5,High,Open
DAST0500,/api/auth,GET,CSRF,file,8.3,High,Open
DAST0501,/download,GET,SQL Injection,username,4.8,Medium,Fixed
DAST0502,/login,DELETE,Cross-Site Scripting,redirect,4.9,Medium,Fixed
DAST0503,/search,POST,Cross-Site Scripting,N/A,4.3,Medium,Open
DAST0504,/profile,POST,Path Traversal,search,2.6,Low,Open
DAST0505,/payment,DELETE,Path Traversal,token,4.9,Medium,Fixed
DAST0506,/admin,PUT,SQL Injection,file,3.4,Low,Fixed
DAST0507,/profile,PUT,Information Disclosure,username,6.3,Medium,Open
DAST0508,/api/users,PUT,Session Management Issue,token,6,Medium,Fixed
DAST0509,/admin,POST,Security Misconfiguration,username,9.6,Critical,Open
DAST0510,/login,DELETE,Information Disclosure,token,4.7,Medium,Open
DAST0511,/payment,POST,Security Misconfiguration,redirect,5.7,Medium,Fixed
DAST0512,/payment,GET,Open Redirect,username,2.7,Low,Open
DAST0513,/search,POST,Session Management Issue,search,8.9,High,Open
DAST0514,/upload,POST,Open Redirect,id,5.2,Medium,Open
DAST0515,/upload,GET,Information Disclosure,username,7.9,High,Open
DAST0516,/download,POST,Path Traversal,search,3.4,Low,Open
DAST0517,/checkout,POST,Session Management Issue,N/A,5.6,Medium,Open
DAST0518,/payment,DELETE,Security Misconfiguration,token,8.2,High,Open
DAST0519,/download,PUT,CSRF,file,2.5,Low,Open
DAST0520,/profile,GET,SQL Injection,search,8.5,High,Open
DAST0521,/api/users,GET,Path Traversal,redirect,4.4,Medium,Open
DAST0522,/login,GET,Cross-Site Scripting,N/A,4.9,Medium,Open
DAST0523,/admin,DELETE,Path Traversal,redirect,4.5,Medium,Open
DAST0524,/download,POST,Missing Security Headers,redirect,2.3,Low,Open
DAST0525,/upload,PUT,CSRF,N/A,6.2,Medium,Open
DAST0526,/upload,DELETE,Open Redirect,token,7.4,High,Fixed
DAST0527,/profile,POST,Missing Security Headers,file,9.2,Critical,Open
DAST0528,/login,POST,Missing Security Headers,id,2.2,Low,Open
DAST0529,/login,POST,Path Traversal,file,9.9,Critical,Open
DAST0530,/download,GET,Information Disclosure,redirect,4.4,Medium,Fixed
DAST0531,/admin,DELETE,Security Misconfiguration,redirect,9.5,Critical,Open
DAST0532,/admin,POST,Path Traversal,username,7.5,High,Open
DAST0533,/upload,DELETE,Security Misconfiguration,search,5.6,Medium,Open
DAST0534,/login,DELETE,Session Management Issue,N/A,8.5,High,Open
DAST0535,/api/users,DELETE,Security Misconfiguration,N/A,2.3,Low,Open
DAST0536,/download,DELETE,Missing Security Headers,id,7.9,High,Open
DAST0537,/api/auth,GET,Open Redirect,N/A,4.8,Medium,Fixed
DAST0538,/api/users,PUT,Information Disclosure,id,8.6,High,Fixed
DAST0539,/admin,DELETE,Security Misconfiguration,redirect,6.3,Medium,Open
DAST0540,/login,PUT,SQL Injection,token,4.2,Medium,Open
DAST0541,/api/auth,DELETE,Security Misconfiguration,token,8.4,High,Open
DAST0542,/api/users,POST,Security Misconfiguration,redirect,2.7,Low,Open
DAST0543,/admin,DELETE,CSRF,username,8.7,High,Open
DAST0544,/api/auth,GET,SQL Injection,username,4.2,Medium,Open
DAST0545,/download,PUT,Cross-Site Scripting,username,8,High,Fixed
DAST0546,/download,POST,Cross-Site Scripting,token,9.7,Critical,Open
DAST0547,/payment,DELETE,Security Misconfiguration,redirect,2.7,Low,Open
DAST0548,/payment,POST,Session Management Issue,N/A,8.8,High,Open
DAST0549,/checkout,PUT,SQL Injection,redirect,8.4,High,Open
DAST0550,/search,GET,SQL Injection,N/A,5.1,Medium,Open
DAST0551,/admin,POST,Security Misconfiguration,username,4.6,Medium,Open
DAST0552,/login,POST,Information Disclosure,token,3.6,Low,Open
DAST0553,/admin,GET,CSRF,id,6.6,Medium,Fixed
DAST0554,/profile,PUT,Security Misconfiguration,token,9.1,Critical,Open
DAST0555,/profile,PUT,SQL Injection,search,6.2,Medium,Open
DAST0556,/search,DELETE,Open Redirect,file,6.7,Medium,Fixed
DAST0557,/upload,DELETE,Cross-Site Scripting,search,7.3,High,Open
DAST0558,/download,GET,Security Misconfiguration,redirect,6.2,Medium,Open
DAST0559,/login,PUT,Information Disclosure,username,6.1,Medium,Open
DAST0560,/download,DELETE,Path Traversal,id,2.1,Low,Open
DAST0561,/api/auth,GET,Broken Authentication,search,2.4,Low,Open
DAST0562,/profile,PUT,CSRF,search,9.4,Critical,Fixed
DAST0563,/upload,PUT,CSRF,id,8.2,High,Fixed
DAST0564,/profile,PUT,Cross-Site Scripting,token,3.6,Low,Open
DAST0565,/upload,POST,Missing Security Headers,id,7.2,High,Open
DAST0566,/admin,DELETE,Security Misconfiguration,username,7.2,High,Fixed
DAST0567,/checkout,DELETE,Information Disclosure,N/A,5.2,Medium,Fixed
DAST0568,/profile,POST,Information Disclosure,file,8.5,High,Open
DAST0569,/download,DELETE,Session Management Issue,N/A,6.4,Medium,Open
DAST0570,/checkout,GET,Open Redirect,file,9.1,Critical,Fixed
DAST0571,/api/auth,PUT,Broken Authentication,file,6.4,Medium,Open
DAST0572,/api/users,POST,CSRF,token,9.2,Critical,Open
DAST0573,/payment,PUT,Broken Authentication,file,6.7,Medium,Open
DAST0574,/profile,PUT,Path Traversal,redirect,5.4,Medium,Open
DAST0575,/api/users,DELETE,Security Misconfiguration,N/A,9.6,Critical,Open
DAST0576,/checkout,PUT,CSRF,username,7.7,High,Open
DAST0577,/login,DELETE,Open Redirect,search,5.3,Medium,Open
DAST0578,/api/auth,PUT,Session Management Issue,file,2.1,Low,Open
DAST0579,/payment,DELETE,Missing Security Headers,id,6.5,Medium,Fixed
DAST0580,/api/auth,POST,Path Traversal,username,5.9,Medium,Open
DAST0581,/api/users,POST,Cross-Site Scripting,token,9,Critical,Open
DAST0582,/api/users,POST,Missing Security Headers,file,8.5,High,Open
DAST0583,/payment,GET,Security Misconfiguration,N/A,8.8,High,Open
DAST0584,/api/auth,POST,Cross-Site Scripting,token,4.9,Medium,Open
DAST0585,/api/auth,DELETE,Cross-Site Scripting,token,9,Critical,Open
DAST0586,/api/users,DELETE,Path Traversal,id,3.2,Low,Open
DAST0587,/upload,GET,CSRF,search,4.3,Medium,Open
DAST0588,/profile,POST,Information Disclosure,redirect,7.3,High,Open
DAST0589,/admin,PUT,CSRF,N/A,9.8,Critical,Open
DAST0590,/payment,POST,Cross-Site Scripting,redirect,6.7,Medium,Fixed
DAST0591,/checkout,GET,Path Traversal,username,6.2,Medium,Open
DAST0592,/upload,GET,Broken Authentication,token,2.5,Low,Open
DAST0593,/api/users,PUT,Cross-Site Scripting,username,9.8,Critical,Fixed
DAST0594,/download,GET,Open Redirect,search,3,Low,Open
DAST0595,/upload,GET,Missing Security Headers,N/A,2.7,Low,Open
DAST0596,/search,DELETE,Broken Authentication,search,9,Critical,Open
DAST0597,/search,POST,Information Disclosure,file,6.1,Medium,Fixed
DAST0598,/profile,PUT,Broken Authentication,redirect,4.7,Medium,Open
DAST0599,/login,PUT,SQL Injection,username,9.2,Critical,Open
DAST0600,/admin,PUT,Session Management Issue,N/A,2.3,Low,Open
DAST0601,/upload,GET,Open Redirect,file,3.9,Low,Fixed
DAST0602,/api/users,POST,CSRF,file,7.5,High,Open
DAST0603,/profile,DELETE,Information Disclosure,search,3.8,Low,Open
DAST0604,/checkout,POST,SQL Injection,redirect,4.5,Medium,Open
DAST0605,/upload,GET,SQL Injection,username,3.4,Low,Open
DAST0606,/profile,POST,Security Misconfiguration,N/A,8.4,High,Fixed
DAST0607,/api/users,DELETE,Session Management Issue,file,3.2,Low,Open
DAST0608,/payment,GET,Information Disclosure,redirect,8.6,High,Open
DAST0609,/checkout,DELETE,Path Traversal,token,4.6,Medium,Open
DAST0610,/download,PUT,Cross-Site Scripting,username,5,Medium,Open
DAST0611,/payment,PUT,Cross-Site Scripting,file,7,High,Open
DAST0612,/download,GET,Broken Authentication,token,2.8,Low,Open
DAST0613,/checkout,PUT,Broken Authentication,username,2.2,Low,Open
DAST0614,/download,PUT,CSRF,redirect,9.9,Critical,Fixed
DAST0615,/payment,POST,Path Traversal,search,6.7,Medium,Fixed
DAST0616,/api/users,POST,Open Redirect,search,8.3,High,Open
DAST0617,/profile,DELETE,Cross-Site Scripting,N/A,9.1,Critical,Open
DAST0618,/login,POST,Security Misconfiguration,token,8,High,Fixed
DAST0619,/payment,GET,Missing Security Headers,redirect,9.8,Critical,Fixed
DAST0620,/upload,POST,CSRF,token,2.4,Low,Open
DAST0621,/admin,POST,SQL Injection,N/A,9.2,Critical,Open
DAST0622,/profile,DELETE,Security Misconfiguration,N/A,8.9,High,Open
DAST0623,/api/users,DELETE,Path Traversal,file,8.2,High,Open
DAST0624,/api/users,POST,Cross-Site Scripting,redirect,5,Medium,Open
DAST0625,/search,PUT,SQL Injection,redirect,2.3,Low,Open
DAST0626,/login,DELETE,CSRF,file,4.9,Medium,Open
DAST0627,/payment,GET,Missing Security Headers,N/A,4.2,Medium,Open
DAST0628,/upload,PUT,Security Misconfiguration,search,8.8,High,Open
DAST0629,/admin,POST,SQL Injection,N/A,4.9,Medium,Open
DAST0630,/profile,POST,SQL Injection,username,4.4,Medium,Fixed
DAST0631,/download,POST,Broken Authentication,username,8.1,High,Open
DAST0632,/login,POST,Broken Authentication,N/A,8.8,High,Open
DAST0633,/upload,POST,Missing Security Headers,file,5.7,Medium,Open
DAST0634,/upload,DELETE,Path Traversal,file,7.8,High,Open
DAST0635,/checkout,DELETE,Missing Security Headers,search,2.8,Low,Open
DAST0636,/api/users,DELETE,Open Redirect,id,3.8,Low,Open
DAST0637,/login,GET,Open Redirect,file,9.6,Critical,Open
DAST0638,/search,PUT,Path Traversal,file,8,High,Fixed
DAST0639,/checkout,GET,Broken Authentication,id,8.6,High,Open
DAST0640,/admin,GET,Session Management Issue,search,5.3,Medium,Fixed
DAST0641,/search,POST,Security Misconfiguration,redirect,6.8,Medium,Open
DAST0642,/checkout,POST,Broken Authentication,N/A,8.4,High,Open
DAST0643,/checkout,DELETE,SQL Injection,file,9.1,Critical,Open
DAST0644,/upload,PUT,Information Disclosure,username,5.1,Medium,Fixed
DAST0645,/payment,PUT,Missing Security Headers,N/A,2.7,Low,Open
DAST0646,/profile,DELETE,CSRF,search,7,High,Open
DAST0647,/api/auth,PUT,Broken Authentication,username,8,High,Open
DAST0648,/profile,PUT,Broken Authentication,username,2.7,Low,Open
DAST0649,/search,DELETE,Security Misconfiguration,search,4.4,Medium,Open
DAST0650,/admin,DELETE,Broken Authentication,file,6.9,Medium,Open
DAST0651,/checkout,PUT,Cross-Site Scripting,id,8,High,Fixed
DAST0652,/checkout,POST,Session Management Issue,search,9.3,Critical,Open
DAST0653,/login,GET,Broken Authentication,N/A,5.8,Medium,Open
DAST0654,/profile,PUT,SQL Injection,search,6.5,Medium,Open
DAST0655,/admin,POST,SQL Injection,token,7.9,High,Open
DAST0656,/download,PUT,Missing Security Headers,N/A,8.9,High,Open
DAST0657,/payment,GET,Broken Authentication,search,9.3,Critical,Fixed
DAST0658,/search,DELETE,SQL Injection,N/A,2.5,Low,Open
DAST0659,/payment,POST,CSRF,token,6,Medium,Open
DAST0660,/download,POST,Cross-Site Scripting,search,4.8,Medium,Open
DAST0661,/api/users,PUT,Missing Security Headers,token,8.8,High,Open
DAST0662,/payment,PUT,CSRF,redirect,8.5,High,Fixed
DAST0663,/api/auth,GET,Path Traversal,N/A,2.9,Low,Open
DAST0664,/checkout,PUT,Broken Authentication,token,7.7,High,Open
DAST0665,/api/auth,GET,Security Misconfiguration,redirect,3.9,Low,Open
DAST0666,/profile,DELETE,Missing Security Headers,id,2.6,Low,Open
DAST0667,/api/users,POST,Security Misconfiguration,file,9.5,Critical,Open
DAST0668,/checkout,PUT,Information Disclosure,id,3.3,Low,Open
DAST0669,/download,GET,Session Management Issue,username,7.2,High,Open
DAST0670,/admin,POST,Broken Authentication,redirect,3.4,Low,Fixed
DAST0671,/checkout,POST,CSRF,search,2.2,Low,Open
DAST0672,/checkout,DELETE,Broken Authentication,N/A,6.2,Medium,Open
DAST0673,/checkout,GET,Open Redirect,N/A,2.7,Low,Fixed
DAST0674,/admin,GET,Session Management Issue,token,4.3,Medium,Open
DAST0675,/login,GET,Missing Security Headers,N/A,5.4,Medium,Fixed
DAST0676,/api/auth,PUT,Path Traversal,id,6.7,Medium,Fixed
DAST0677,/upload,GET,Session Management Issue,N/A,8.5,High,Open
DAST0678,/profile,DELETE,CSRF,file,3.6,Low,Open
DAST0679,/api/users,GET,CSRF,file,5.7,Medium,Open
DAST0680,/payment,GET,Missing Security Headers,file,5.6,Medium,Open
DAST0681,/checkout,PUT,Cross-Site Scripting,redirect,7.9,High,Open
DAST0682,/api/auth,POST,Cross-Site Scripting,redirect,7.7,High,Open
DAST0683,/api/users,POST,Information Disclosure,search,8.6,High,Open
DAST0684,/login,POST,CSRF,token,9.1,Critical,Open
DAST0685,/checkout,PUT,Session Management Issue,search,9.6,Critical,Open
DAST0686,/profile,PUT,Path Traversal,id,6.4,Medium,Open
DAST0687,/upload,DELETE,Cross-Site Scripting,search,6.2,Medium,Open
DAST0688,/api/users,DELETE,CSRF,redirect,3.4,Low,Fixed
DAST0689,/profile,POST,Cross-Site Scripting,N/A,5.8,Medium,Open
DAST0690,/search,PUT,Cross-Site Scripting,id,4,Medium,Open
DAST0691,/api/auth,DELETE,Path Traversal,file,2.3,Low,Open
DAST0692,/upload,GET,SQL Injection,token,7.1,High,Open
DAST0693,/api/auth,PUT,Missing Security Headers,id,6.3,Medium,Open
DAST0694,/profile,DELETE,Broken Authentication,token,3.1,Low,Fixed
DAST0695,/api/auth,GET,Session Management Issue,N/A,4.3,Medium,Open
DAST0696,/api/auth,PUT,CSRF,redirect,6.7,Medium,Fixed
DAST0697,/profile,PUT,CSRF,redirect,3.3,Low,Open
DAST0698,/search,POST,Cross-Site Scripting,redirect,2.8,Low,Open
DAST0699,/api/users,POST,SQL Injection,id,5.4,Medium,Open
DAST0700,/api/auth,POST,Missing Security Headers,token,4.8,Medium,Fixed
DAST0701,/admin,DELETE,Missing Security Headers,search,8.8,High,Open
DAST0702,/checkout,GET,Open Redirect,id,4.1,Medium,Open
DAST0703,/login,GET,Missing Security Headers,username,2.2,Low,Open
DAST0704,/download,PUT,Information Disclosure,token,8.9,High,Fixed
DAST0705,/profile,GET,SQL Injection,username,4.7,Medium,Open
DAST0706,/admin,PUT,Session Management Issue,token,7.1,High,Open
DAST0707,/download,POST,Open Redirect,token,6.4,Medium,Open
DAST0708,/api/users,POST,Path Traversal,username,5,Medium,Open
DAST0709,/admin,GET,Cross-Site Scripting,N/A,3.5,Low,Open
DAST0710,/upload,POST,Path Traversal,id,5.4,Medium,Fixed
DAST0711,/checkout,PUT,Cross-Site Scripting,redirect,7,High,Open
DAST0712,/login,PUT,Security Misconfiguration,id,6.2,Medium,Open
DAST0713,/login,GET,Cross-Site Scripting,file,7.3,High,Open
DAST0714,/checkout,DELETE,Path Traversal,search,7.8,High,Fixed
DAST0715,/admin,POST,Path Traversal,token,5.9,Medium,Fixed
DAST0716,/checkout,GET,CSRF,search,5.1,Medium,Open
DAST0717,/api/users,DELETE,Cross-Site Scripting,file,2.1,Low,Fixed
DAST0718,/search,GET,Missing Security Headers,username,2,Low,Fixed
DAST0719,/profile,GET,Security Misconfiguration,id,10,Critical,Open
DAST0720,/admin,POST,Session Management Issue,id,2.9,Low,Fixed
DAST0721,/search,POST,Path Traversal,id,5.3,Medium,Open
DAST0722,/login,DELETE,Cross-Site Scripting,token,7.7,High,Fixed
DAST0723,/api/users,DELETE,SQL Injection,token,7.9,High,Open
DAST0724,/profile,PUT,Session Management Issue,token,9,Critical,Open
DAST0725,/checkout,GET,Missing Security Headers,username,6.9,Medium,Open
DAST0726,/api/users,POST,Path Traversal,redirect,8,High,Open
DAST0727,/profile,DELETE,Missing Security Headers,username,8.8,High,Open
DAST0728,/admin,DELETE,Security Misconfiguration,redirect,6.9,Medium,Open
DAST0729,/admin,DELETE,Broken Authentication,file,8.3,High,Fixed
DAST0730,/api/auth,PUT,Cross-Site Scripting,redirect,2.2,Low,Open
DAST0731,/download,PUT,Information Disclosure,file,5.3,Medium,Open
DAST0732,/profile,PUT,Broken Authentication,search,9,Critical,Open
DAST0733,/login,PUT,Broken Authentication,N/A,7.2,High,Open
DAST0734,/admin,POST,Session Management Issue,search,9.4,Critical,Open
DAST0735,/api/auth,DELETE,Open Redirect,username,3.4,Low,Open
DAST0736,/api/auth,POST,Cross-Site Scripting,token,4.5,Medium,Open
DAST0737,/login,POST,Information Disclosure,username,8.4,High,Open
DAST0738,/payment,PUT,Session Management Issue,N/A,9.9,Critical,Open
DAST0739,/payment,PUT,Information Disclosure,token,4.6,Medium,Open
DAST0740,/api/auth,GET,Information Disclosure,id,2,Low,Open
DAST0741,/profile,PUT,Session Management Issue,id,9.9,Critical,Open
DAST0742,/api/auth,PUT,Information Disclosure,id,3.2,Low,Fixed
DAST0743,/api/users,GET,Information Disclosure,username,2.4,Low,Open
DAST0744,/checkout,DELETE,Open Redirect,N/A,6.8,Medium,Open
DAST0745,/download,POST,SQL Injection,N/A,4.6,Medium,Open
DAST0746,/payment,GET,SQL Injection,N/A,6.2,Medium,Open
DAST0747,/download,PUT,Session Management Issue,username,8.4,High,Open
DAST0748,/api/auth,PUT,Open Redirect,search,2.6,Low,Fixed
DAST0749,/api/auth,POST,Path Traversal,token,7.6,High,Open
DAST0750,/search,GET,CSRF,id,9.6,Critical,Fixed
DAST0751,/api/auth,PUT,Security Misconfiguration,redirect,4.2,Medium,Open
DAST0752,/api/auth,PUT,Open Redirect,username,4,Medium,Open
DAST0753,/upload,PUT,Security Misconfiguration,file,3.3,Low,Open
DAST0754,/login,GET,Security Misconfiguration,redirect,2.6,Low,Open
DAST0755,/admin,POST,Open Redirect,username,6.5,Medium,Open
DAST0756,/api/users,DELETE,SQL Injection,file,5.9,Medium,Fixed
DAST0757,/upload,POST,Open Redirect,N/A,6,Medium,Open
DAST0758,/checkout,POST,Cross-Site Scripting,redirect,9.1,Critical,Fixed
DAST0759,/login,GET,Missing Security Headers,token,2.3,Low,Fixed
DAST0760,/profile,PUT,Broken Authentication,id,3.6,Low,Fixed
DAST0761,/download,DELETE,SQL Injection,username,6.1,Medium,Open
DAST0762,/upload,GET,CSRF,redirect,3.9,Low,Open
DAST0763,/profile,PUT,Open Redirect,token,6.6,Medium,Open
DAST0764,/api/auth,POST,SQL Injection,username,5.9,Medium,Open
DAST0765,/download,GET,Open Redirect,file,6.6,Medium,Open
DAST0766,/admin,PUT,Missing Security Headers,id,3.2,Low,Fixed
DAST0767,/payment,DELETE,Cross-Site Scripting,token,3.2,Low,Open
DAST0768,/api/users,DELETE,Path Traversal,search,5.3,Medium,Open
DAST0769,/api/users,PUT,Information Disclosure,username,7.5,High,Open
DAST0770,/checkout,PUT,Session Management Issue,redirect,7.2,High,Fixed
DAST0771,/profile,GET,Open Redirect,N/A,9.3,Critical,Open
DAST0772,/admin,DELETE,SQL Injection,N/A,8.5,High,Open
DAST0773,/upload,PUT,Open Redirect,redirect,7.4,High,Open
DAST0774,/payment,DELETE,Open Redirect,search,8.5,High,Open
DAST0775,/api/users,GET,SQL Injection,token,3,Low,Open
DAST0776,/login,POST,Cross-Site Scripting,redirect,4,Medium,Open
DAST0777,/api/auth,PUT,CSRF,search,4.7,Medium,Open
DAST0778,/checkout,POST,Missing Security Headers,N/A,5.3,Medium,Open
DAST0779,/api/auth,GET,SQL Injection,N/A,7.1,High,Open
DAST0780,/login,POST,CSRF,N/A,8.5,High,Open
DAST0781,/checkout,PUT,Session Management Issue,search,4.1,Medium,Open
DAST0782,/checkout,DELETE,Security Misconfiguration,token,8.6,High,Fixed
DAST0783,/checkout,POST,Security Misconfiguration,username,2.1,Low,Open
DAST0784,/download,PUT,Missing Security Headers,token,7.2,High,Open
DAST0785,/download,PUT,CSRF,id,8.5,High,Open
DAST0786,/checkout,POST,Security Misconfiguration,redirect,5.7,Medium,Open
DAST0787,/checkout,GET,Broken Authentication,N/A,3.6,Low,Open
DAST0788,/checkout,DELETE,Cross-Site Scripting,N/A,2.2,Low,Open
DAST0789,/admin,PUT,Information Disclosure,search,4.3,Medium,Open
DAST0790,/admin,GET,Security Misconfiguration,search,9.3,Critical,Open
