ID,File_Name,Language,Component,Vulnerability,CWE,Line_Number,CVSS,Severity,Risk_Score,Detection_Status,Remediation
V0263,payment.cpp,C++,Payment,Cross-Site Scripting,CWE-79,682,5.6,Medium,5.6,Missed,Pending
V0264,server.js,JavaScript,Authentication,Insecure API,CWE-639,252,3.5,Low,2.45,Detected,Fixed
V0265,user.java,Python,Payment,Sensitive Data Exposure,CWE-200,99,5.4,Medium,5.4,Detected,Pending
V0266,database.java,C++,Configuration,Insecure Cryptography,CWE-327,532,8.6,High,10.32,Detected,Fixed
V0267,api.c,JavaScript,File Upload,Path Traversal,CWE-22,831,2.4,Low,1.68,Detected,Pending
V0268,session.java,Java,Authentication,Weak Authentication,CWE-287,970,4.6,Medium,4.6,Missed,Fixed
V0269,payment.js,Python,Payment,SQL Injection,CWE-89,1233,8.7,High,10.44,Detected,Pending
V0270,upload.c,C,Configuration,Command Injection,CWE-78,859,2.3,Low,1.61,Detected,Pending
V0271,upload.py,Java,File Upload,Cross-Site Scripting,CWE-79,940,8.3,High,9.96,Detected,Pending
V0272,user.php,JavaScript,API,Weak Authentication,CWE-287,1085,9.7,Critical,14.55,Detected,Pending
V0273,config.py,C++,Payment,SQL Injection,CWE-89,561,7.3,High,8.76,Detected,Fixed
V0274,login.cpp,C,Database,Command Injection,CWE-78,927,2.1,Low,1.47,Detected,Fixed
V0275,admin.php,C++,Database,Insecure Cryptography,CWE-327,561,5.7,Medium,5.7,Missed,Fixed
V0276,admin.c,JavaScript,API,Cross-Site Scripting,CWE-79,992,7.7,High,9.24,Missed,Fixed
V0277,profile.js,PHP,User Management,Insecure API,CWE-639,1110,2.2,Low,1.54,Detected,Fixed
V0278,server.java,Java,Database,Command Injection,CWE-78,1220,8.8,High,10.56,Missed,Pending
V0279,admin.js,PHP,User Management,Command Injection,CWE-78,838,8,High,9.6,Missed,Fixed
V0280,download.php,JavaScript,Configuration,Insecure Cryptography,CWE-327,415,4.1,Medium,4.1,Detected,Fixed
V0281,payment.js,C++,Session Management,Cross-Site Scripting,CWE-79,944,8,High,9.6,Detected,Pending
V0282,api.py,C++,User Management,SQL Injection,CWE-89,681,7.4,High,8.88,Detected,Pending
V0283,payment.js,PHP,API,Insecure API,CWE-639,126,3.4,Low,2.38,Detected,Fixed
V0284,login.c,Java,API,Sensitive Data Exposure,CWE-200,193,7.4,High,8.88,Detected,Fixed
V0285,admin.js,PHP,Payment,Buffer Overflow,CWE-120,120,9.4,Critical,14.1,Detected,Fixed
V0286,auth.cpp,Python,API,Sensitive Data Exposure,CWE-200,1101,8.8,High,10.56,Detected,Fixed
V0287,profile.c,Python,Session Management,Sensitive Data Exposure,CWE-200,679,8.2,High,9.84,Detected,Pending
V0288,login.cpp,C,API,Hardcoded Credentials,CWE-798,1350,7.5,High,9,Detected,Fixed
V0289,search.js,C,Session Management,Insecure API,CWE-639,1191,6.7,Medium,6.7,Detected,Pending
V0290,server.php,C++,Configuration,Hardcoded Credentials,CWE-798,27,5.2,Medium,5.2,Missed,Pending
V0291,config.cpp,C,Configuration,Hardcoded Credentials,CWE-798,73,3,Low,2.1,Missed,Pending
V0292,auth.c,Java,Session Management,Insecure Cryptography,CWE-327,297,8.6,High,10.32,Detected,Fixed
V0293,admin.php,Python,File Upload,Buffer Overflow,CWE-120,1346,7.7,High,9.24,Detected,Fixed
V0294,admin.c,PHP,Database,Path Traversal,CWE-22,1188,8.3,High,9.96,Detected,Fixed
V0295,config.c,JavaScript,Database,Sensitive Data Exposure,CWE-200,1406,2.1,Low,1.47,Missed,Fixed
V0296,auth.py,C,Payment,SQL Injection,CWE-89,797,3.4,Low,2.38,Detected,Fixed
V0297,session.java,C,File Upload,Cross-Site Scripting,CWE-79,954,6.8,Medium,6.8,Detected,Fixed
V0298,upload.php,PHP,File Upload,Buffer Overflow,CWE-120,113,2.6,Low,1.82,Detected,Pending
V0299,search.java,PHP,User Management,Command Injection,CWE-78,783,7.7,High,9.24,Detected,Fixed
V0300,database.c,Java,Authentication,Sensitive Data Exposure,CWE-200,883,6.5,Medium,6.5,Detected,Pending
V0301,user.cpp,Python,File Upload,Path Traversal,CWE-22,1245,4.3,Medium,4.3,Detected,Fixed
V0302,admin.js,Python,Configuration,SQL Injection,CWE-89,1140,5.1,Medium,5.1,Missed,Fixed
V0303,auth.c,Python,API,Cross-Site Scripting,CWE-79,905,7.4,High,8.88,Missed,Fixed
V0304,profile.py,C++,Configuration,Command Injection,CWE-78,896,3.3,Low,2.31,Detected,Pending
V0305,login.js,C,Authentication,Command Injection,CWE-78,842,2.9,Low,2.03,Detected,Pending
V0306,auth.c,Java,File Upload,Insecure API,CWE-639,1299,6.3,Medium,6.3,Detected,Pending
V0307,upload.py,Python,Configuration,Sensitive Data Exposure,CWE-200,911,2.8,Low,1.96,Detected,Pending
V0308,payment.c,Java,API,Weak Authentication,CWE-287,392,2.7,Low,1.89,Detected,Pending
V0309,session.py,PHP,User Management,Hardcoded Credentials,CWE-798,1454,7.1,High,8.52,Detected,Fixed
V0310,profile.py,Python,API,Cross-Site Scripting,CWE-79,212,6.5,Medium,6.5,Detected,Pending
V0311,server.java,C++,Authentication,SQL Injection,CWE-89,944,4.4,Medium,4.4,Detected,Fixed
V0312,server.py,C++,Database,SQL Injection,CWE-89,1333,4.1,Medium,4.1,Detected,Fixed
V0313,api.py,C,Payment,Weak Authentication,CWE-287,222,7.1,High,8.52,Detected,Fixed
V0314,auth.js,Python,Configuration,Cross-Site Scripting,CWE-79,667,8.6,High,10.32,Detected,Pending
V0315,server.js,Java,Payment,Cross-Site Scripting,CWE-79,1445,2.4,Low,1.68,Detected,Pending
V0316,payment.js,C,Authentication,Command Injection,CWE-78,1035,9.9,Critical,14.85,Detected,Fixed
V0317,download.c,C,Configuration,Weak Authentication,CWE-287,939,2.2,Low,1.54,Missed,Fixed
V0318,server.c,C,API,Insecure API,CWE-639,1378,3.4,Low,2.38,Missed,Pending
V0319,api.java,Java,Session Management,Sensitive Data Exposure,CWE-200,1098,4.6,Medium,4.6,Detected,Pending
V0320,download.cpp,C,Session Management,Command Injection,CWE-78,1311,8.8,High,10.56,Detected,Fixed
V0321,upload.php,Java,Session Management,Command Injection,CWE-78,685,3.5,Low,2.45,Missed,Pending
V0322,download.py,C++,User Management,SQL Injection,CWE-89,1413,8.4,High,10.08,Detected,Fixed
V0323,profile.cpp,JavaScript,Authentication,Buffer Overflow,CWE-120,915,8.9,High,10.68,Detected,Fixed
V0324,config.php,Python,Payment,SQL Injection,CWE-89,102,5.8,Medium,5.8,Detected,Fixed
V0325,login.js,JavaScript,Payment,Hardcoded Credentials,CWE-798,1494,7.2,High,8.64,Detected,Pending
V0326,config.js,PHP,Session Management,Buffer Overflow,CWE-120,224,4.6,Medium,4.6,Detected,Fixed
V0327,server.py,C++,Session Management,Sensitive Data Exposure,CWE-200,189,5.7,Medium,5.7,Missed,Fixed
V0328,api.cpp,Python,API,Sensitive Data Exposure,CWE-200,1206,9.5,Critical,14.25,Missed,Pending
V0329,session.js,C,Configuration,Buffer Overflow,CWE-120,936,4,Medium,4,Detected,Pending
V0330,login.c,C,API,Path Traversal,CWE-22,1095,2.2,Low,1.54,Detected,Pending
V0331,session.cpp,JavaScript,Configuration,Cross-Site Scripting,CWE-79,931,9.7,Critical,14.55,Detected,Fixed
V0332,payment.js,C,Configuration,SQL Injection,CWE-89,1246,4.1,Medium,4.1,Detected,Pending
V0333,user.cpp,Python,Payment,Hardcoded Credentials,CWE-798,918,7.2,High,8.64,Missed,Pending
V0334,auth.js,PHP,Payment,Insecure Cryptography,CWE-327,35,2.6,Low,1.82,Detected,Pending
V0335,checkout.js,Python,User Management,Weak Authentication,CWE-287,380,9.8,Critical,14.7,Missed,Fixed
V0336,search.php,JavaScript,Database,Buffer Overflow,CWE-120,911,9.3,Critical,13.95,Detected,Fixed
V0337,api.c,C,API,Cross-Site Scripting,CWE-79,1393,8.9,High,10.68,Detected,Fixed
V0338,search.js,Java,Authentication,Weak Authentication,CWE-287,22,5.4,Medium,5.4,Missed,Fixed
V0339,server.py,Python,Authentication,Cross-Site Scripting,CWE-79,42,8.2,High,9.84,Detected,Fixed
V0340,user.c,C,Session Management,Insecure API,CWE-639,441,4.4,Medium,4.4,Detected,Pending
V0341,auth.php,Python,File Upload,Sensitive Data Exposure,CWE-200,1162,4.3,Medium,4.3,Detected,Fixed
V0342,download.js,Python,Database,Sensitive Data Exposure,CWE-200,1402,10,Critical,15,Detected,Fixed
V0343,profile.cpp,PHP,File Upload,Insecure Cryptography,CWE-327,475,9.9,Critical,14.85,Missed,Fixed
V0344,config.java,Java,Session Management,Path Traversal,CWE-22,1407,5.8,Medium,5.8,Detected,Fixed
V0345,download.php,PHP,Database,Insecure API,CWE-639,553,8.1,High,9.72,Detected,Fixed
V0346,download.java,Java,File Upload,Command Injection,CWE-78,1396,4.6,Medium,4.6,Detected,Fixed
V0347,upload.cpp,Python,Database,Buffer Overflow,CWE-120,1430,3.9,Low,2.73,Missed,Pending
V0348,admin.java,C,Session Management,Path Traversal,CWE-22,846,6.9,Medium,6.9,Detected,Fixed
V0349,profile.py,C,User Management,Hardcoded Credentials,CWE-798,1273,4.7,Medium,4.7,Detected,Pending
V0350,config.java,JavaScript,Database,Buffer Overflow,CWE-120,296,2.5,Low,1.75,Detected,Pending
V0351,user.cpp,PHP,User Management,Command Injection,CWE-78,944,9.9,Critical,14.85,Detected,Fixed
V0352,admin.c,JavaScript,Payment,Buffer Overflow,CWE-120,1487,7.5,High,9,Missed,Pending
V0353,api.cpp,C++,Database,Insecure API,CWE-639,299,8.9,High,10.68,Detected,Pending
V0354,config.php,C,Payment,Hardcoded Credentials,CWE-798,637,5.7,Medium,5.7,Detected,Fixed
V0355,admin.php,Python,File Upload,Path Traversal,CWE-22,1407,3,Low,2.1,Detected,Fixed
V0356,checkout.js,Java,Configuration,Sensitive Data Exposure,CWE-200,1084,7.4,High,8.88,Missed,Pending
V0357,login.py,PHP,API,Buffer Overflow,CWE-120,282,2.2,Low,1.54,Detected,Pending
V0358,payment.java,Python,User Management,Hardcoded Credentials,CWE-798,578,3.3,Low,2.31,Detected,Pending
V0359,profile.py,C++,Payment,Sensitive Data Exposure,CWE-200,487,9.2,Critical,13.8,Detected,Fixed
V0360,checkout.java,JavaScript,User Management,Insecure Cryptography,CWE-327,1033,3.2,Low,2.24,Detected,Fixed
V0361,user.java,PHP,Authentication,Insecure API,CWE-639,597,4.1,Medium,4.1,Detected,Fixed
V0362,admin.c,Python,Session Management,Command Injection,CWE-78,914,4,Medium,4,Detected,Pending
V0363,checkout.php,Python,File Upload,Hardcoded Credentials,CWE-798,1481,4.5,Medium,4.5,Missed,Fixed
V0364,login.c,JavaScript,File Upload,Insecure Cryptography,CWE-327,1342,3.8,Low,2.66,Detected,Pending
V0365,payment.cpp,JavaScript,User Management,Insecure Cryptography,CWE-327,220,2.2,Low,1.54,Detected,Pending
V0366,checkout.py,C++,API,Hardcoded Credentials,CWE-798,748,9.2,Critical,13.8,Detected,Fixed
V0367,user.py,Java,Session Management,Hardcoded Credentials,CWE-798,1241,9.7,Critical,14.55,Detected,Fixed
V0368,checkout.java,Java,API,Insecure API,CWE-639,634,9.5,Critical,14.25,Missed,Fixed
V0369,login.php,PHP,Configuration,Weak Authentication,CWE-287,368,5.6,Medium,5.6,Detected,Fixed
V0370,profile.py,Python,Database,SQL Injection,CWE-89,578,5.5,Medium,5.5,Detected,Pending
V0371,login.c,C,Database,Buffer Overflow,CWE-120,737,2.4,Low,1.68,Detected,Pending
V0372,download.cpp,C++,Session Management,Path Traversal,CWE-22,740,4.9,Medium,4.9,Missed,Pending
V0373,profile.c,C,Configuration,Weak Authentication,CWE-287,1008,9.2,Critical,13.8,Detected,Fixed
V0374,profile.c,C,Session Management,Insecure API,CWE-639,930,5,Medium,5,Detected,Fixed
V0375,user.py,C++,Authentication,Command Injection,CWE-78,1053,6,Medium,6,Detected,Fixed
V0376,admin.py,JavaScript,Configuration,Buffer Overflow,CWE-120,1328,6.2,Medium,6.2,Detected,Fixed
V0377,session.py,C,Configuration,Sensitive Data Exposure,CWE-200,927,3.4,Low,2.38,Detected,Fixed
V0378,database.java,Java,User Management,Weak Authentication,CWE-287,329,6.3,Medium,6.3,Detected,Pending
V0379,session.java,C,Database,Path Traversal,CWE-22,19,2.9,Low,2.03,Detected,Pending
V0380,download.c,JavaScript,File Upload,Hardcoded Credentials,CWE-798,1145,6.9,Medium,6.9,Detected,Pending
V0381,checkout.c,Python,Payment,Insecure Cryptography,CWE-327,1066,6.4,Medium,6.4,Missed,Pending
V0382,download.java,C,Payment,Command Injection,CWE-78,390,3.8,Low,2.66,Missed,Fixed
V0383,server.php,PHP,Session Management,Sensitive Data Exposure,CWE-200,976,9.2,Critical,13.8,Missed,Fixed
V0384,checkout.py,C++,Session Management,Path Traversal,CWE-22,1071,3.6,Low,2.52,Detected,Fixed
V0385,user.cpp,JavaScript,Configuration,Cross-Site Scripting,CWE-79,1106,5.4,Medium,5.4,Detected,Pending
V0386,upload.java,Python,Configuration,Insecure Cryptography,CWE-327,768,9.1,Critical,13.65,Detected,Fixed
V0387,login.c,JavaScript,API,Insecure API,CWE-639,1354,3.9,Low,2.73,Detected,Pending
V0388,config.js,JavaScript,User Management,Hardcoded Credentials,CWE-798,445,4.3,Medium,4.3,Detected,Pending
V0389,profile.py,JavaScript,API,Insecure API,CWE-639,750,9,Critical,13.5,Detected,Fixed
V0390,login.py,PHP,Session Management,Cross-Site Scripting,CWE-79,1282,7,High,8.4,Detected,Pending
V0391,server.cpp,C,Database,Cross-Site Scripting,CWE-79,554,8.9,High,10.68,Detected,Fixed
V0392,api.c,Python,Session Management,Buffer Overflow,CWE-120,251,5.8,Medium,5.8,Detected,Fixed
V0393,search.php,JavaScript,Database,Buffer Overflow,CWE-120,1121,9.2,Critical,13.8,Detected,Fixed
V0394,checkout.py,JavaScript,Authentication,Weak Authentication,CWE-287,1452,3.4,Low,2.38,Missed,Pending
V0395,database.cpp,JavaScript,Database,Insecure Cryptography,CWE-327,123,7,High,8.4,Detected,Fixed
V0396,api.java,JavaScript,Database,Path Traversal,CWE-22,431,7.8,High,9.36,Detected,Fixed
V0397,server.js,Java,Database,Command Injection,CWE-78,132,3.5,Low,2.45,Detected,Pending
V0398,profile.c,C,Session Management,Path Traversal,CWE-22,458,6.5,Medium,6.5,Detected,Fixed
V0399,checkout.py,Java,API,Buffer Overflow,CWE-120,1423,7.4,High,8.88,Missed,Fixed
V0400,payment.py,Java,Authentication,Sensitive Data Exposure,CWE-200,1431,9.4,Critical,14.1,Detected,Fixed
V0401,server.c,Java,Configuration,Weak Authentication,CWE-287,1156,4.6,Medium,4.6,Detected,Pending
V0402,checkout.php,PHP,User Management,SQL Injection,CWE-89,1160,6.4,Medium,6.4,Detected,Pending
V0403,upload.c,Java,User Management,Path Traversal,CWE-22,22,2,Low,1.4,Detected,Fixed
V0404,config.php,C++,API,Insecure API,CWE-639,946,5,Medium,5,Missed,Pending
V0405,login.php,Java,Configuration,Buffer Overflow,CWE-120,190,7.1,High,8.52,Detected,Fixed
V0406,login.py,C++,File Upload,Hardcoded Credentials,CWE-798,351,6.9,Medium,6.9,Detected,Pending
V0407,config.c,C,Authentication,Insecure API,CWE-639,1185,8.5,High,10.2,Detected,Fixed
V0408,upload.c,Python,Configuration,SQL Injection,CWE-89,230,2.9,Low,2.03,Detected,Fixed
V0409,user.php,PHP,Database,Command Injection,CWE-78,234,7.3,High,8.76,Missed,Fixed
V0410,admin.java,C++,Authentication,Hardcoded Credentials,CWE-798,447,3.6,Low,2.52,Detected,Pending
V0411,upload.java,C++,Session Management,SQL Injection,CWE-89,1275,6.7,Medium,6.7,Detected,Fixed
V0412,payment.php,C,Database,Weak Authentication,CWE-287,1042,7.6,High,9.12,Missed,Fixed
V0413,checkout.py,C++,Authentication,Hardcoded Credentials,CWE-798,739,6.2,Medium,6.2,Missed,Pending
V0414,profile.java,JavaScript,Authentication,Cross-Site Scripting,CWE-79,1333,5,Medium,5,Missed,Fixed
V0415,user.cpp,PHP,Authentication,Path Traversal,CWE-22,214,7.6,High,9.12,Detected,Fixed
V0416,checkout.c,Java,File Upload,Command Injection,CWE-78,106,5.8,Medium,5.8,Detected,Pending
V0417,config.php,C++,Session Management,Sensitive Data Exposure,CWE-200,194,3.8,Low,2.66,Detected,Pending
V0418,login.java,C++,Payment,Command Injection,CWE-78,196,5.6,Medium,5.6,Detected,Pending
V0419,server.c,JavaScript,Authentication,SQL Injection,CWE-89,284,2.6,Low,1.82,Detected,Pending
V0420,server.java,JavaScript,Session Management,Path Traversal,CWE-22,721,4.1,Medium,4.1,Detected,Pending
V0421,login.php,Python,Database,Insecure API,CWE-639,731,6.4,Medium,6.4,Detected,Pending
V0422,search.php,PHP,Authentication,Hardcoded Credentials,CWE-798,1329,2.2,Low,1.54,Detected,Fixed
V0423,admin.java,C++,File Upload,Weak Authentication,CWE-287,31,3.7,Low,2.59,Missed,Pending
V0424,auth.php,Python,Configuration,Path Traversal,CWE-22,515,7.1,High,8.52,Detected,Fixed
V0425,checkout.java,PHP,User Management,Command Injection,CWE-78,1009,7.7,High,9.24,Detected,Pending
V0426,payment.php,C,Configuration,Cross-Site Scripting,CWE-79,126,8.2,High,9.84,Detected,Pending
V0427,checkout.py,JavaScript,Authentication,Buffer Overflow,CWE-120,1075,2.6,Low,1.82,Detected,Pending
V0428,download.cpp,C,File Upload,Hardcoded Credentials,CWE-798,934,2.8,Low,1.96,Detected,Pending
V0429,upload.c,PHP,Configuration,Insecure API,CWE-639,541,9.6,Critical,14.4,Detected,Fixed
V0430,server.js,PHP,Session Management,Sensitive Data Exposure,CWE-200,1404,9.4,Critical,14.1,Detected,Fixed
V0431,search.php,C++,Database,Path Traversal,CWE-22,207,9.4,Critical,14.1,Detected,Fixed
V0432,payment.js,C,User Management,Insecure API,CWE-639,1128,7.2,High,8.64,Detected,Fixed
V0433,profile.cpp,C,File Upload,SQL Injection,CWE-89,174,3.3,Low,2.31,Detected,Pending
V0434,auth.cpp,C,Configuration,Insecure API,CWE-639,1085,9.3,Critical,13.95,Missed,Fixed
V0435,checkout.java,JavaScript,Configuration,Buffer Overflow,CWE-120,1158,9.4,Critical,14.1,Detected,Fixed
V0436,search.py,Java,Database,Command Injection,CWE-78,996,3.4,Low,2.38,Missed,Pending
V0437,profile.php,PHP,User Management,Cross-Site Scripting,CWE-79,344,2.6,Low,1.82,Detected,Pending
V0438,session.py,C,File Upload,Command Injection,CWE-78,1168,6.5,Medium,6.5,Detected,Pending
V0439,config.cpp,C,File Upload,SQL Injection,CWE-89,792,4.9,Medium,4.9,Detected,Pending
V0440,search.java,Java,Authentication,Cross-Site Scripting,CWE-79,152,5.7,Medium,5.7,Detected,Fixed
V0441,admin.php,JavaScript,User Management,Cross-Site Scripting,CWE-79,460,5.7,Medium,5.7,Detected,Pending
V0442,auth.php,C,Configuration,Buffer Overflow,CWE-120,1146,8.2,High,9.84,Detected,Pending
V0443,auth.php,C,Payment,Sensitive Data Exposure,CWE-200,56,8.6,High,10.32,Detected,Fixed
V0444,server.c,JavaScript,API,Hardcoded Credentials,CWE-798,1355,4.3,Medium,4.3,Missed,Pending
V0445,checkout.java,Python,Payment,Insecure Cryptography,CWE-327,576,7.8,High,9.36,Missed,Pending
V0446,admin.js,PHP,Session Management,Path Traversal,CWE-22,954,6,Medium,6,Detected,Pending
V0447,download.cpp,C++,Configuration,Buffer Overflow,CWE-120,1451,2.5,Low,1.75,Detected,Pending
V0448,server.py,Java,File Upload,Command Injection,CWE-78,538,2.3,Low,1.61,Detected,Pending
V0449,auth.cpp,PHP,Configuration,Insecure API,CWE-639,191,3.9,Low,2.73,Detected,Fixed
V0450,admin.php,JavaScript,File Upload,Insecure API,CWE-639,1026,3.7,Low,2.59,Missed,Pending
V0451,session.php,C,Authentication,Buffer Overflow,CWE-120,367,5.4,Medium,5.4,Detected,Pending
V0452,search.py,Java,File Upload,SQL Injection,CWE-89,1235,6.4,Medium,6.4,Detected,Pending
V0453,auth.py,C++,Configuration,Cross-Site Scripting,CWE-79,1452,7.7,High,9.24,Detected,Fixed
V0454,profile.java,C,File Upload,Weak Authentication,CWE-287,1120,3.9,Low,2.73,Missed,Pending
V0455,config.py,PHP,Payment,Buffer Overflow,CWE-120,382,9.2,Critical,13.8,Detected,Fixed
V0456,api.java,Python,Session Management,Buffer Overflow,CWE-120,1206,5.9,Medium,5.9,Detected,Pending
V0457,profile.js,C,File Upload,Path Traversal,CWE-22,1393,4.1,Medium,4.1,Detected,Pending
V0458,checkout.java,Java,Session Management,Weak Authentication,CWE-287,1331,4.6,Medium,4.6,Missed,Fixed
V0459,admin.js,Java,Configuration,SQL Injection,CWE-89,1250,7.3,High,8.76,Detected,Pending
V0460,config.php,Python,Database,Sensitive Data Exposure,CWE-200,138,7.8,High,9.36,Detected,Fixed
V0461,api.java,C++,API,Insecure Cryptography,CWE-327,1162,6.6,Medium,6.6,Detected,Pending
V0462,session.py,PHP,API,Insecure Cryptography,CWE-327,930,9,Critical,13.5,Missed,Pending
V0463,auth.c,Java,Configuration,Path Traversal,CWE-22,1204,5.3,Medium,5.3,Detected,Pending
V0464,auth.php,PHP,File Upload,Sensitive Data Exposure,CWE-200,245,3.6,Low,2.52,Missed,Pending
V0465,session.java,C,Configuration,Hardcoded Credentials,CWE-798,823,5.8,Medium,5.8,Missed,Pending
V0466,database.cpp,PHP,Database,Buffer Overflow,CWE-120,1231,5,Medium,5,Detected,Pending
V0467,config.php,C++,Payment,Hardcoded Credentials,CWE-798,585,4,Medium,4,Missed,Pending
V0468,login.java,Python,Session Management,Command Injection,CWE-78,804,9.4,Critical,14.1,Detected,Fixed
V0469,upload.js,JavaScript,Configuration,Path Traversal,CWE-22,846,5.7,Medium,5.7,Missed,Fixed
V0470,upload.c,C,Payment,SQL Injection,CWE-89,156,2.1,Low,1.47,Detected,Pending
V0471,api.php,PHP,Authentication,Insecure API,CWE-639,16,9.5,Critical,14.25,Detected,Fixed
V0472,checkout.java,C,API,Sensitive Data Exposure,CWE-200,947,5,Medium,5,Detected,Pending
V0473,profile.cpp,PHP,Authentication,Sensitive Data Exposure,CWE-200,389,2.1,Low,1.47,Missed,Pending
V0474,config.java,C++,File Upload,SQL Injection,CWE-89,360,9.8,Critical,14.7,Detected,Fixed
V0475,upload.js,Python,Configuration,Path Traversal,CWE-22,454,5,Medium,5,Detected,Pending
V0476,config.java,C++,API,Weak Authentication,CWE-287,1270,9.9,Critical,14.85,Missed,Pending
V0477,user.cpp,Java,Session Management,Insecure API,CWE-639,177,3.1,Low,2.17,Missed,Fixed
V0478,checkout.js,C,Configuration,Sensitive Data Exposure,CWE-200,1121,6.5,Medium,6.5,Detected,Fixed
V0479,server.php,C++,File Upload,Insecure API,CWE-639,1271,8.4,High,10.08,Detected,Pending
V0480,profile.cpp,C++,Payment,Insecure Cryptography,CWE-327,1293,3.6,Low,2.52,Detected,Pending
V0481,checkout.py,JavaScript,Session Management,Buffer Overflow,CWE-120,1079,7.7,High,9.24,Detected,Fixed
V0482,config.py,PHP,File Upload,SQL Injection,CWE-89,893,6.5,Medium,6.5,Detected,Pending
V0483,server.c,Python,Configuration,Insecure API,CWE-639,935,2.1,Low,1.47,Detected,Pending
V0484,auth.cpp,PHP,API,Cross-Site Scripting,CWE-79,1159,4.1,Medium,4.1,Detected,Pending
V0485,login.c,JavaScript,Payment,Buffer Overflow,CWE-120,1134,5.8,Medium,5.8,Detected,Fixed
V0486,api.java,PHP,Session Management,Sensitive Data Exposure,CWE-200,716,9.4,Critical,14.1,Missed,Fixed
V0487,server.cpp,PHP,File Upload,Buffer Overflow,CWE-120,1049,10,Critical,15,Detected,Pending
V0488,database.php,PHP,File Upload,Insecure Cryptography,CWE-327,231,3.7,Low,2.59,Detected,Pending
V0489,admin.c,Java,Configuration,Buffer Overflow,CWE-120,1393,6.4,Medium,6.4,Detected,Pending
V0490,api.java,C,Configuration,Insecure Cryptography,CWE-327,504,7.2,High,8.64,Detected,Fixed
V0491,search.java,C++,Configuration,Insecure Cryptography,CWE-327,852,9.2,Critical,13.8,Detected,Fixed
V0492,checkout.py,JavaScript,API,Hardcoded Credentials,CWE-798,700,7.9,High,9.48,Detected,Fixed
V0493,login.c,Java,API,SQL Injection,CWE-89,826,6.9,Medium,6.9,Detected,Pending
V0494,download.py,Java,User Management,Command Injection,CWE-78,374,3.8,Low,2.66,Detected,Fixed
V0495,download.py,C,Session Management,Buffer Overflow,CWE-120,1021,9.3,Critical,13.95,Detected,Fixed
V0496,api.py,Java,File Upload,Cross-Site Scripting,CWE-79,251,8.4,High,10.08,Detected,Fixed
V0497,admin.js,Java,User Management,SQL Injection,CWE-89,1457,4.5,Medium,4.5,Detected,Pending
V0498,api.py,C++,Configuration,Insecure Cryptography,CWE-327,1494,3.8,Low,2.66,Detected,Pending
V0499,auth.py,Python,Payment,Path Traversal,CWE-22,973,7.3,High,8.76,Detected,Fixed
V0500,config.java,Java,API,Path Traversal,CWE-22,1308,7.9,High,9.48,Detected,Pending
V0501,admin.cpp,C++,Payment,Hardcoded Credentials,CWE-798,65,5.7,Medium,5.7,Detected,Fixed
V0502,session.java,Python,Session Management,Path Traversal,CWE-22,972,8.9,High,10.68,Missed,Pending
V0503,search.js,PHP,Payment,Hardcoded Credentials,CWE-798,973,7.4,High,8.88,Detected,Pending
V0504,admin.js,PHP,Payment,Insecure Cryptography,CWE-327,891,3.3,Low,2.31,Detected,Pending
V0505,profile.php,C++,User Management,Hardcoded Credentials,CWE-798,1391,2.1,Low,1.47,Detected,Fixed
V0506,login.cpp,PHP,Payment,Sensitive Data Exposure,CWE-200,618,8.9,High,10.68,Detected,Fixed
V0507,api.cpp,PHP,File Upload,Insecure Cryptography,CWE-327,602,2.8,Low,1.96,Detected,Fixed
V0508,auth.java,JavaScript,Database,Buffer Overflow,CWE-120,1288,4.5,Medium,4.5,Missed,Pending
V0509,database.cpp,C++,Authentication,Path Traversal,CWE-22,1155,5.5,Medium,5.5,Detected,Pending
V0510,search.c,C,User Management,Insecure Cryptography,CWE-327,30,6.9,Medium,6.9,Detected,Fixed
V0511,api.c,C,Database,Command Injection,CWE-78,1426,4.7,Medium,4.7,Detected,Pending
V0512,upload.js,PHP,Authentication,SQL Injection,CWE-89,923,6.6,Medium,6.6,Detected,Pending
V0513,admin.php,Java,Database,Path Traversal,CWE-22,1493,8.6,High,10.32,Missed,Pending
V0514,checkout.cpp,C,User Management,Command Injection,CWE-78,1180,4.7,Medium,4.7,Detected,Fixed
V0515,user.py,C++,Authentication,Path Traversal,CWE-22,1176,5.1,Medium,5.1,Detected,Fixed
V0516,login.php,Java,Database,Sensitive Data Exposure,CWE-200,639,6.8,Medium,6.8,Detected,Pending
V0517,search.js,PHP,Payment,Command Injection,CWE-78,954,6,Medium,6,Detected,Pending
V0518,upload.java,PHP,API,Insecure API,CWE-639,257,2.9,Low,2.03,Detected,Pending
V0519,admin.c,PHP,Configuration,Path Traversal,CWE-22,972,8.8,High,10.56,Detected,Fixed
V0520,profile.c,Python,Session Management,Hardcoded Credentials,CWE-798,774,5.6,Medium,5.6,Detected,Fixed
V0521,upload.py,C++,User Management,Sensitive Data Exposure,CWE-200,602,8,High,9.6,Detected,Fixed
V0522,user.java,Java,Database,SQL Injection,CWE-89,422,8.4,High,10.08,Detected,Fixed
V0523,login.py,JavaScript,Database,Buffer Overflow,CWE-120,918,5.1,Medium,5.1,Detected,Fixed
V0524,payment.php,Java,Session Management,Weak Authentication,CWE-287,1253,2.1,Low,1.47,Detected,Pending
V0525,api.java,Python,Configuration,Command Injection,CWE-78,44,7.9,High,9.48,Detected,Pending
